timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729024228255,1055,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1055,0,0
1729024229312,208,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3926,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0e51d567ff61c698a141c1fad03&fields=status,DE:api_contentList,DE:api_contentListWithIDs",208,0,0
1729024229521,1525,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1551,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1525,0,0
1729024231050,545,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3929,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0e604eaff9abd5ee8cb4e6ac6bc&fields=status,DE:api_contentList,DE:api_contentListWithIDs",544,0,0
1729024231595,1158,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1157,0,0
1729024232755,220,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0e81d569d59301bee5a964e8322&fields=status,DE:api_contentList,DE:api_contentListWithIDs",220,0,0
1729024232976,948,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,948,0,0
1729024233927,204,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3926,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0e91d56a369e45d7f6845f1a491&fields=status,DE:api_contentList,DE:api_contentListWithIDs",204,0,0
1729024234131,911,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1550,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,911,0,0
1729024235044,438,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3928,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0ea04eb157eed8b837848c46ea9&fields=status,DE:api_contentList,DE:api_contentListWithIDs",438,0,0
1729024235520,973,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1550,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,973,0,0
1729024236496,213,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3926,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0ec04eb1c72c01cdf2776362ec1&fields=status,DE:api_contentList,DE:api_contentListWithIDs",213,0,0
1729024236709,1043,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1550,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1043,0,0
1729024237757,208,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3926,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0ed04eb20518fb5f40d7053af92&fields=status,DE:api_contentList,DE:api_contentListWithIDs",208,0,0
